Filename,Title,Usecase,Status
compressed_air___pipe_line_pressure_drop_diagram.md,Compressed Air - Pipe Line Pressure Drop Diagram,datatable,done
compressed_air___pipe_line_pressure_loss___online_.md,Compressed Air - Pipe Line Pressure Loss - Online Calculator with Metric and Imperial Units,datatable,done
compressed_air___pressure_drop_diagrams__metric_un.md,"Compressed Air - Pressure Drop Diagrams, Metric Units",datatable,done
compressed_air___size_of_pipe_vs__capacity.md,Compressed Air - Size of Pipe vs. Capacity,calculator,done
compressed_air___storage_volume.md,Compressed Air - Storage Volume,calculator,done
compressed_air___water_content.md,Compressed Air - Water Content,calculator,done
compressed_air_pipe_line_capacity.md,Compressed Air Pipe Line Capacity,chart,done
compressed_air_pipe_lines___pressure_loss_vs__capa.md,Compressed Air Pipe Lines - Pressure Loss vs. Capacity and Operating Pressure,calculator,done
compressed_air_pipes___fittings_and_pressure_loss.md,Compressed Air Pipes - Fittings and Pressure Loss,calculator,done
compressed_air_piping___pressure_loss_diagrams__im.md,"Compressed Air Piping - Pressure Loss Diagrams, Imperial Units",datatable,done
compressed_air_quality.md,Compressed Air Quality,datatable,done
compressed_air_receivers.md,Compressed Air Receivers,calculator-chart,done
compressed_air_vs__free_air___compression_ratio.md,Compressed Air vs. Free Air - Compression Ratio,none,pending
compressed_water___properties_vs__temperature.md,Compressed Water - Properties vs. Temperature,calculator,done
compressible_gas_flow___entropy.md,Compressible Gas Flow - Entropy,none,pending
compression_and_expansion_of_gases.md,Compression and Expansion of Gases,datatable,done
compression_and_tension_strength_of_some_common_ma.md,Compression and Tension Strength of some common Materials,chart,done
concentration_of_carbon_dioxide_in_the_atmosphere.md,Concentration of Carbon Dioxide in the Atmosphere,calculator-table,done
concentration_units_converter.md,Concentration Units Converter,chart,done
concrete___calculating_cubic_volume.md,Concrete - Calculating Cubic Volume,datatable,done
concrete___water_to_cement_ratios.md,Concrete - Water to Cement Ratios,datatable,done
concrete_columns.md,Concrete Columns,calculator,done
concrete_footing.md,Concrete Footing,datatable,done
concrete_footings___volume.md,Concrete Footings - Volume,calculator,done
concrete_mixtures.md,Concrete Mixtures,datatable,done
concrete_properties.md,Concrete Properties,chart-table,done
concrete_slabs___load_capacities.md,Concrete Slabs - Load Capacities,datatable,done
concrete_slabs___required_thickness.md,Concrete Slabs - Required Thickness,none,pending
concrete_slabs___volume_estimates.md,Concrete Slabs - Volume Estimates,chart,done
concrete_walls___volume.md,Concrete Walls - Volume,datatable,done
condensate_generated_in_cold_steam_pipes___si_unit.md,Condensate Generated in Cold Steam Pipes - SI Units,datatable,done
condensate_generated_in_cold_steam_pipes___sizing_.md,Condensate Generated in Cold Steam Pipes - Sizing of Steam Traps,datatable,done
condensate_pipe_lines___friction_resistance_imperi.md,Condensate Pipe Lines - Friction Resistance Imperial Units,datatable,done
condensate_pipe_lines___sizing.md,Condensate Pipe Lines - Sizing,datatable,done
condensate_pumping.md,Condensate Pumping,datatable,done
conductive_heat_transfer.md,Conductive Heat Transfer,none,pending
conn_rod_mechanism.md,Conn-Rod Mechanism,calculator,done
consanguinity.md,Consanguinity,datatable,done
conservation_of_mass.md,Conservation of Mass,datatable,done
conservation_of_momentum.md,Conservation of Momentum,datatable,done
constants_of__.md,Constants of π,chart,done
constants_of_e.md,Constants of e,chart,done
content_in_horizontal___or_sloped___cylindrical_ta.md,Content in Horizontal - or Sloped - Cylindrical Tanks or Pipes,datatable,done
contract_types.md,Contract Types,chart,done
control_valve_sizing.md,Control Valve Sizing,datatable,done
control_valves___sizing_and_selection.md,Control Valves - Sizing and Selection,datatable,done
control_valves_for_water_flow___kv_sizing___pressu.md,Control Valves for Water Flow – Kv Sizing & Pressure Drop Calculations,calculator,done
conveyors___belt_speed.md,Conveyors - Belt Speed,datatable,done
conveyors___capacities.md,Conveyors - Capacities,calculator,done
conveyors___load___power_consumption.md,Conveyors - Load & Power Consumption,calculator,done
conveyors___maximum_inclination_vs__product.md,Conveyors - Maximum Inclination vs. Product,datatable,done
cooking_units_volume_converter___u_s__and_metric_u.md,Cooking Units Volume Converter - U.S. and Metric Units,calculator,done
cooking_volumes___u_s__unit_converter.md,Cooking Volumes - U.S. Unit Converter,calculator-table,done
cooling_mode___heat_flux.md,Cooling Mode - Heat Flux,datatable,done
cooling_tower_efficiency.md,Cooling Tower Efficiency,datatable,done
cooling_water___pipe_lines.md,Cooling Water - Pipe Lines,none,pending
copper___density__specific_heat_and_thermal_conduc.md,"Copper - Density, Specific Heat and Thermal Conductivity vs. Temperature",calculator,done
copper__zinc_and_tin_alloys.md,"Copper, Zinc and Tin Alloys",datatable,done
copper_alloys___typical_applications.md,Copper Alloys - Typical Applications,datatable,done
copper_and_aluminum_wire___max_amps_vs__gauge.md,Copper and Aluminum Wire - Max Amps vs. Gauge,datatable,done
copper_binary_eutectic_alloys___melting_points.md,Copper Binary Eutectic Alloys - Melting Points,datatable,done
copper_tubes___heat_losses.md,Copper Tubes - Heat Losses,datatable,done
copper_tubes___maximum_water_velocities.md,Copper Tubes - Maximum Water Velocities,calculator-chart,done
copper_tubes___uninsulated_heat_losses.md,Copper Tubes - Uninsulated Heat Losses,calculator-table,done
copper_tubes_type_k__l_and_m___working_pressures_v.md,"Copper Tubes Type K, L and M - Working Pressures vs. Size",datatable,done
copper_wire___electrical_resistance_vs__gauge.md,Copper Wire - Electrical Resistance vs. Gauge,datatable,done
corrosion.md,Corrosion,datatable,done
coulomb_s_law.md,Coulomb's Law,datatable,done
cpvc___chemical_resistance.md,CPVC - Chemical Resistance,calculator,done
critical_points_for_some_substances.md,Critical Points for some Substances,none,pending
critical_temperatures_and_pressures_for_some_commo.md,Critical Temperatures and Pressures for some Common Substances,datatable,done
crude_oil___density_vs__temperature.md,Crude Oil - Density vs. Temperature,calculator,done
crude_oil_metal__ni__v__content_vs__gravity.md,"Crude Oil Metal (Ni, V) Content vs. Gravity",datatable,done
crude_oil_properties___standard_test_methods__astm.md,Crude Oil Properties - Standard test methods (ASTM and others),datatable,done
crude_oil_viscosity_vs__gravity.md,Crude Oil Viscosity vs. Gravity,chart-table,done
cryogenic_fluids_and_liquefied_gas_properties.md,Cryogenic Fluids and Liquefied Gas Properties,chart-table,done
csi_masterformat_specifications.md,CSI MasterFormat Specifications,datatable,done
current_divider___online_calculator.md,Current Divider - Online Calculator,datatable,done
cylindrical_tanks___volumes.md,Cylindrical Tanks - Volumes,datatable,done
dalton_s_law.md,Dalton's Law,datatable,done
darcy_weisbach_equation__flow_resistance___pressur.md,Darcy-Weisbach Equation: Flow Resistance & Pressure Loss Calculator,chart-table,done
data_types.md,Data Types,none,pending
decibel.md,Decibel,none,pending
decibel_a__b_and_c.md,"Decibel A, B and C",calculator,done
decimal_system_prefixes.md,Decimal System Prefixes,calculator-table,done
dehumidification___removing_moisture_from_air.md,Dehumidification - Removing Moisture from Air,calculator,done
dehumidifiers.md,Dehumidifiers,calculator,done
densities.md,Densities,calculator,done
densities_of_aqueous_solutions_of_inorganic_chlori.md,Densities of Aqueous Solutions of Inorganic Chlorides,calculator,done
densities_of_aqueous_solutions_of_inorganic_potass.md,Densities of Aqueous Solutions of Inorganic Potassium Salts,datatable,done
densities_of_aqueous_solutions_of_inorganic_sodium.md,Densities of Aqueous Solutions of Inorganic Sodium Salts,calculator-chart,done
densities_of_aqueous_solutions_of_organic_acids.md,Densities of Aqueous Solutions of Organic Acids,datatable,done
densities_of_common_products.md,Densities of common Products,calculator,done
density__specific_weight__and_specific_gravity___d.md,"Density, Specific Weight, and Specific Gravity – Definitions & Calculator",calculator,done
density_converter.md,Density Converter,calculator-table,done
density_of_aqueous_solutions_of_organic_substances.md,Density of Aqueous Solutions of Organic Substances as Sugars and Alcohols,chart,done
density_of_aqueous_solutions_of_some_inorganic_sub.md,Density of Aqueous Solutions of some Inorganic Substances,none,pending
density_of_gases.md,Density of Gases,chart-table,done
density_of_wood_species__data___material_guide.md,Density of Wood Species: Data & Material Guide,calculator-table,done
design_of_control_and_safety_valves.md,Design of Control and Safety Valves,datatable,done
design_strategies_for_piping_systems.md,Design Strategies for Piping Systems,datatable,done
designation_of_large_numbers.md,Designation of Large Numbers,chart,done
dfa___design_for_assembly_index.md,DFA - Design for Assembly index,calculator-chart,done
dfu___drainage_fixture_units.md,DFU - Drainage Fixture Units,calculator,done
diaphragm_valves___diaphragm_materials.md,Diaphragm Valves - Diaphragm Materials,none,pending
dichlorodifluoromethane___properties.md,Dichlorodifluoromethane - Properties,datatable,done
dichlorodifluoromethane___properties__imperial_uni.md,"Dichlorodifluoromethane - Properties, Imperial Units",datatable,done
dielectric_strength_of_insulating_materials.md,Dielectric Strength of Insulating Materials,chart-table,done
differential_calculus.md,Differential Calculus,datatable,done
dimensionless_numbers.md,Dimensionless Numbers,calculator,done
dimensions_of_pipes_and_tubes.md,Dimensions of Pipes and Tubes,datatable,done
dimethyl_propylmethane_gas___specific_heat_vs__tem.md,Dimethyl Propylmethane Gas - Specific Heat vs. Temperature,datatable,done
din___deutsches_institut_f_r_normung.md,DIN - Deutsches Institut für Normung,datatable,done
dirt_and_mud___densities.md,Dirt and Mud - Densities,datatable,done
discomfort_index.md,Discomfort Index,calculator-table,done
discount_rates.md,Discount Rates,calculator,done
discrete_compounding_cash_flow_formulas.md,Discrete Compounding Cash Flow Formulas,calculator,done
discrete_data_sets_and_their_mean__median_and_mode.md,"Discrete Data Sets and their Mean, Median and Mode Values",calculator,done
disk_brakes___torque_and_force.md,Disk Brakes - Torque and Force,datatable,done
distance_between_3d_points.md,Distance between 3D Points,calculator,done
distance_between_cities.md,Distance between Cities,datatable,done
distance_traveled_vs__speed_and_time___calculator_.md,Distance Traveled vs. Speed and Time - Calculator and Chart,calculator,done
ditch_filling_materials___densities.md,Ditch Filling Materials - Densities,calculator,done
domestic_hot_water_heaters___sizing.md,Domestic Hot Water Heaters - Sizing,none,pending
domestic_hot_water_service_systems___design_proced.md,Domestic Hot Water Service Systems - Design Procedures,datatable,done
domestic_service_water_supply_systems.md,Domestic Service Water Supply Systems,chart,done
domestic_water_supply___lime_deposits.md,Domestic Water Supply - Lime Deposits,datatable,done
download_ansi__american_national_standards_institu.md,"Download ANSI, American National Standards Institute, Standards",none,pending
dowtherm_a.md,Dowtherm A,calculator-table,done
drag_coefficient.md,Drag Coefficient,calculator,done
drain_pipes_and_vent_stacks.md,Drain Pipes and Vent Stacks,datatable,done
drain_waste_and_vent_pipes___hanger_spacing.md,Drain Waste and Vent Pipes - Hanger Spacing,datatable,done
drains_and_sewers___capacities_vs__size.md,Drains and Sewers - Capacities vs. Size,calculator-table,done
drawbridge___force_and_moment_vs__elevation.md,Drawbridge - Force and Moment vs. Elevation,datatable,done
drawing_scales.md,Drawing Scales,datatable,done
drawings___sheet_layouts.md,Drawings - Sheet Layouts,datatable,done
drawings___standard_metric_sizes.md,Drawings - Standard Metric Sizes,calculator,done
driving_distances_between_european_cities.md,Driving Distances between European Cities,calculator-table,done
dry_air_and_water_vapor___density_and_specific_vol.md,Dry Air and Water Vapor - Density and Specific Volume vs. Temperature - Imperial Units,calculator-table,done
dry_air_thermodynamic_and_physical_properties___de.md,"Dry Air Thermodynamic and Physical Properties – Density, Specific Heat, Viscosity",chart-table,done
dry_bulb__wet_bulb_and_dew_point_temperatures.md,"Dry Bulb, Wet Bulb and Dew Point Temperatures",datatable,done
drying_temperatures_and_times_for_various_products.md,Drying Temperatures and Times for Various Products,datatable,done
duct_wrap_insulation___thermal_resistance.md,Duct Wrap Insulation - Thermal Resistance,datatable,done
ducts_or_pipes_through_steel_joists___maximum_size.md,Ducts or Pipes through Steel Joists - Maximum Sizes,datatable,done
dust_explosions___substances__critical_temperature.md,"Dust Explosions - Substances, Critical Temperatures and Concentrations",calculator,done
dynamic__absolute__and_kinematic_viscosity___defin.md,"Dynamic, Absolute, and Kinematic Viscosity – Definitions & Conversions",calculator,done
dynamic__absolute__viscosity___converting_chart.md,Dynamic (Absolute) Viscosity - Converting Chart,calculator-table,done
dynamic_pressure.md,Dynamic Pressure,calculator-table,done
earth_pressure_acting_on_basement_walls.md,Earth Pressure Acting on Basement Walls,chart-table,done
earthquake_scales.md,Earthquake Scales,datatable,done
effective_interest_rate_vs__nominal_interest_rate.md,Effective Interest Rate vs. Nominal Interest Rate,calculator,done
effectiveness_of_biocides.md,Effectiveness of Biocides,datatable,done
efficiency.md,Efficiency,datatable,done
efficiency_in_pumps_or_fans.md,Efficiency in Pumps or Fans,calculator-table,done
efficiency_of_small_machine_elements.md,Efficiency of Small Machine Elements,datatable,done
elastomers.md,Elastomers,datatable,done
elastomers_properties.md,Elastomers Properties,datatable,done
electric_cable_size_vs__current_rating.md,Electric Cable Size vs. Current Rating,datatable,done
electric_circuit_diagram___drawing_template.md,Electric Circuit Diagram - Drawing Template,datatable,done
electric_circuits_voltage_drop.md,Electric Circuits Voltage Drop,calculator-table,done
electric_heating_of_mass.md,Electric Heating of Mass,calculator,done
electric_motors___230___460v_three_phase_circuits_.md,Electric Motors - 230 & 460V Three Phase Circuits Wiring,datatable,done
electric_motors___480_volt_wiring.md,Electric Motors - 480 Volt Wiring,datatable,done
electric_motors___efficiency.md,Electric Motors - Efficiency,chart-table,done
electric_motors___iec_and_nema_standard_torques.md,Electric Motors - IEC and NEMA Standard Torques,chart,done
electric_motors___torque_vs__power_and_speed.md,Electric Motors - Torque vs. Power and Speed,datatable,done
electric_shocks.md,Electric Shocks,calculator-table,done
electric_wire___calculating_cross_section_areas.md,Electric Wire - Calculating Cross-Section Areas,calculator,done
electric_wire___maximum_length_with_240_volts_sing.md,Electric Wire - Maximum Length with 240 Volts Single-Phase Power,calculator,done
electric_wire___resistance.md,Electric Wire - Resistance,calculator,done
electrical_conductivity___elements_and_other_mater.md,Electrical Conductivity - Elements and other Materials,datatable,done
electrical_dc_motors___full_load_currents.md,Electrical DC Motors - Full-load Currents,calculator,done
electrical_distribution_systems.md,Electrical Distribution Systems,datatable,done
electrical_enclosure_types_by_nema.md,Electrical Enclosure Types by NEMA,datatable,done
electrical_equipment___power_consumption.md,Electrical Equipment - Power Consumption,calculator,done
electrical_formulas.md,Electrical Formulas,datatable,done
electrical_inductance___serial_and_parallel_connec.md,Electrical Inductance - Serial and Parallel Connections,chart,done
electrical_induction_motors____slip.md,Electrical Induction Motors -  Slip,calculator-chart,done
electrical_induction_motors___synchronous_speed.md,Electrical Induction Motors - Synchronous Speed,datatable,done
electrical_induction_motors___torque_vs__speed.md,Electrical Induction Motors - Torque vs. Speed,datatable,done
electrical_metal_tubing__emt____conduits.md,Electrical Metal Tubing (EMT) - Conduits,datatable,done
electrical_motor_calculator__power__efficiency___t.md,"Electrical Motor Calculator: Power, Efficiency & Torque Calculations",calculator,done
electrical_motors___frame_dimensions.md,Electrical Motors - Frame Dimensions,datatable,done
electrical_motors___full_load_amps.md,Electrical Motors - Full Load Amps,datatable,done
electrical_motors___heat_loss.md,Electrical Motors - Heat Loss,datatable,done
electrical_motors___horsepower_vs__voltage_and_amp.md,Electrical Motors - Horsepower vs. Voltage and Amps,calculator,done
electrical_motors___insulation_classes.md,Electrical Motors - Insulation Classes,datatable,done
electrical_motors___locked_rotor_design_code_lette.md,Electrical Motors - Locked Rotor Design Code Letters,datatable,done
electrical_motors___maximum_cable_size_and_length_.md,Electrical Motors - Maximum Cable Size and Length vs. Power,datatable,done
electrical_motors___nema_frame_assignments.md,Electrical Motors - NEMA Frame Assignments,datatable,done
electrical_motors___service_factors.md,Electrical Motors - Service Factors,calculator,done
electrical_motors___shaft_power_vs__voltage_and_cu.md,Electrical Motors - Shaft Power vs. Voltage and Current,calculator-chart,done
electrical_motors___single_phase_230_v_circuit_wir.md,Electrical Motors - Single Phase 230 V Circuit Wiring,calculator,done
electrical_motors___speed_at_operating_vs__synchro.md,Electrical Motors - Speed at Operating vs. Synchronous Load,calculator,done
electrical_motors___speed_vs__no__of_poles_and_fre.md,Electrical Motors - Speed vs. No. of Poles and Frequency,datatable,done
electrical_motors___starting_devices.md,Electrical Motors - Starting Devices,none,pending
electrical_motors_efficiency_ratings.md,Electrical Motors Efficiency Ratings,calculator,done
electrical_parallel_circuits.md,Electrical Parallel Circuits,none,pending
electrical_resistance_in_serial_and_parallel_netwo.md,Electrical Resistance in Serial and Parallel Networks,calculator,done
electrical_resistance_vs__conductance.md,Electrical Resistance vs. Conductance,datatable,done
electrical_series_circuits.md,Electrical Series Circuits,chart-table,done
electrical_units.md,Electrical Units,datatable,done
electrical_vehicle_charging___power_vs__voltage_an.md,Electrical Vehicle Charging - Power vs. Voltage and Amps,calculator,done
electrical_voltage_and_frequency_standards_by_coun.md,Electrical Voltage and Frequency Standards by Country,datatable,done
electromagnetic_spectrum.md,Electromagnetic Spectrum,datatable,done
electromotive_force___e_m_f.md,Electromotive Force - e.m.f,calculator,done
electrotechnical_abbreviations.md,Electrotechnical Abbreviations,none,pending
elementary_curves.md,Elementary Curves,calculator,done
elementary_surfaces.md,Elementary Surfaces,none,pending
elements___boiling_points.md,Elements - Boiling Points,calculator,done
elements___melting_points.md,Elements - Melting Points,calculator,done
elements_of_the_periodic_system.md,Elements of the Periodic System,calculator-chart-table,done
elevators___force_and_power.md,Elevators - Force and Power,calculator-chart,done
emissions_from_biomass_combustion.md,Emissions from Biomass Combustion,datatable,done
emissions_from_the_human_body.md,Emissions from the Human Body,chart-table,done
emissivity_coefficients_of_common_materials__data_.md,Emissivity Coefficients of Common Materials: Data & Reference Guide,datatable,done
empirical_equations.md,Empirical Equations,calculator-chart,done
en_10255___non_alloy_steel_tubes_for_welding_and_t.md,EN 10255 - Non-alloy Steel Tubes for Welding and Threading - Dimensions,calculator,done
en_1057_copper_tubes_for_water_and_gas_in_sanitary.md,EN 1057 Copper Tubes for Water and Gas in Sanitary and Heating Applications - Dimensions,calculator,done
en_12735_seamless__round_copper_tubes_for_air_cond.md,"EN 12735 Seamless, Round Copper Tubes for Air Conditioning and Refrigeration - Dimensions",datatable,done
en_13348_seamless__round_copper_tubes_for_medical_.md,"EN 13348 Seamless, Round Copper Tubes for Medical Gases or Vacuum - Dimensions",calculator-chart,done
energy.md,Energy,datatable,done
energy_accumulated_in_heated_water___kwh.md,Energy Accumulated in Heated Water - kWh,calculator,done
energy_and_hydraulic_grade_line.md,Energy and Hydraulic Grade Line,calculator-chart,done
energy_balance_and_energy_ratio.md,Energy Balance and Energy Ratio,calculator-chart,done
energy_content_in_common_energy_sources.md,Energy Content in common Energy Sources,datatable,done
energy_conversion_factors.md,Energy Conversion Factors,chart,done
energy_equation___pressure_loss_vs__head_loss.md,Energy Equation - Pressure Loss vs. Head Loss,chart-table,done
energy_storage_density.md,Energy Storage Density,none,pending
energy_transfer_equation.md,Energy Transfer Equation,calculator,done
engine___gear_oil___recommended_viscosity_vs__outs.md,Engine & Gear Oil - Recommended Viscosity vs. Outside Temperature,calculator-chart,done
engine_oil___density_and_specific_heat_vs__tempera.md,Engine Oil - Density and Specific Heat vs. Temperatures,calculator-chart,done
engineering_materials___properties.md,Engineering Materials - Properties,calculator-chart,done
environmental_noise_directive___eu.md,Environmental Noise Directive - EU,calculator,done
epoxy___chemical_resistance.md,Epoxy - Chemical Resistance,chart,done
epoxy_pipes___support_spacing.md,Epoxy Pipes - Support Spacing,datatable,done
equal_areas___circles_vs__squares.md,Equal Areas - Circles vs. Squares,calculator,done
equations_in_fluid_mechanics.md,Equations in Fluid Mechanics,datatable,done
equilibrant_force.md,Equilibrant Force,datatable,done
equilibrium.md,Equilibrium,calculator-table,done
equivalent_length_vs__minor_pressure_head_loss_in_.md,Equivalent Length vs. Minor Pressure Head Loss in Pipe and Duct Components,calculator-table,done
ethane____density_and_specific_weight_vs__temperat.md,Ethane -  Density and Specific Weight vs. Temperature and Pressure,datatable,done
ethane____thermal_conductivity_vs__temperature_and.md,Ethane -  Thermal Conductivity vs. Temperature and Pressure,calculator,done
ethane___dynamic_and_kinematic_viscosity.md,Ethane - Dynamic and Kinematic Viscosity,datatable,done
ethane___thermophysical_properties.md,Ethane - Thermophysical Properties,chart-table,done
ethane_gas___specific_heat_vs__temperature.md,Ethane Gas - Specific Heat vs. Temperature,none,pending
ethane_liquid___thermal_properties.md,Ethane Liquid - Thermal Properties,calculator-table,done
ethanol____dynamic_and_kinematic_viscosity_vs__tem.md,Ethanol -  Dynamic and Kinematic Viscosity vs. Temperature and Pressure,chart,done
ethanol___density_and_specific_weight_vs__temperat.md,Ethanol - Density and Specific Weight vs. Temperature and Pressure,datatable,done
ethanol___specific_heat_vs__temperature_and_pressu.md,Ethanol - Specific Heat vs. Temperature and Pressure,datatable,done
ethanol___thermophysical_properties.md,Ethanol - Thermophysical properties,calculator,done
ethanol_freeze_protected_water_solutions.md,Ethanol Freeze Protected Water Solutions,calculator-chart,done
ethanol_water_mixtures___densities_vs__temperature.md,Ethanol Water Mixtures - Densities vs. Temperature,datatable,done
ethylene___density_and_specific_weight_vs__tempera.md,Ethylene - Density and Specific Weight vs. Temperature and Pressure,datatable,done
ethylene___dynamic_and_kinematic_viscosity_vs__tem.md,Ethylene - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,datatable,done
ethylene___thermal_conductivity_vs__temperature_an.md,Ethylene - Thermal Conductivity vs. Temperature and Pressure,datatable,done
ethylene___thermophysical_properties.md,Ethylene - Thermophysical Properties,datatable,done
ethylene_gas___specific_heat_vs__temperature.md,Ethylene Gas - Specific Heat vs. Temperature,calculator-chart,done
ethylene_glycol_heat_transfer_fluid_properties__de.md,"Ethylene Glycol Heat-Transfer Fluid Properties: Density, Data & Charts",datatable,done
etsi_european_telecommunications_standards_institu.md,ETSI European Telecommunications Standards Institute,datatable,done
euler_number.md,Euler Number,chart-table,done
ev___electric_vehicles_energy_consumption____miles.md,EV - Electric Vehicles Energy Consumption -  miles/kWh vs. kWh/100 km,calculator-chart,done
ev___electric_vehicles_range_vs__state_of_charge__.md,EV - Electric Vehicles Range vs. State of Charge (SOC) Calculator,calculator,done
ev___electrical_vehicles_charging_speed__km_h_and_.md,EV - Electrical Vehicles Charging Speed (km/h and mph),calculator,done
evaporation_from_a_water_surface.md,Evaporation from a Water Surface,calculator,done
evaporative_cooling.md,Evaporative Cooling,chart,done
excavation_slopes.md,Excavation Slopes,calculator,done
exponents___powers_and_roots.md,Exponents - Powers and Roots,calculator,done
extension_cords___load_rating_vs__wire_gauge_and_l.md,Extension Cords - Load Rating vs. Wire Gauge and Length,calculator-table,done
factorials.md,Factorials,none,pending
factors_of_safety___fos.md,Factors of Safety - FOS,calculator,done
fans___noise_power_generation.md,Fans - Noise Power Generation,calculator,done
farm_livestock___animals_and_water_consumption.md,Farm Livestock - Animals and Water Consumption,chart-table,done
fasteners.md,Fasteners,datatable,done
fasteners___type_chart.md,Fasteners - Type Chart,calculator,done
feed_pumps_in_steam_systems___suction_lift_head_vs.md,Feed Pumps in Steam Systems - Suction Lift Head vs. Temperature,chart-table,done
feed_water_treatment_to_avoid_corrosion.md,Feed Water Treatment to Avoid Corrosion,datatable,done
feet_vs__inches_converting_chart.md,Feet vs. Inches Converting Chart,datatable,done
fiberglass_insulation.md,Fiberglass Insulation,datatable,done
fibre_reinforced_polymer_composites.md,Fibre-reinforced Polymer Composites,datatable,done
fire_stop_ratings.md,Fire-Stop Ratings,datatable,done
fire_wood___the_cord.md,Fire Wood - the Cord,datatable,done
firefighting_water___required_volume_flow.md,Firefighting Water - Required Volume Flow,datatable,done
fixture_water_consumption_and_required_water_suppl.md,Fixture Water Consumption and Required Water Supply,datatable,done
fixtures___hot_water_content.md,Fixtures - Hot Water Content,datatable,done
fixtures_hot_water_consumption.md,Fixtures Hot Water Consumption,calculator,done
fixtures_trap_sizes.md,Fixtures Trap Sizes,calculator,done
flash_points___liquids.md,Flash Points - Liquids,calculator,done
flash_steam.md,Flash Steam,calculator-chart,done
flash_steam_generation___imperial_units__psig_.md,Flash Steam Generation - Imperial Units (psig),calculator,done
flash_steam_generation___si_units.md,Flash Steam Generation - SI-units,calculator,done
float_glass___weight_vs__thickness.md,Float Glass - Weight vs. Thickness,calculator-table,done
floor_vibrations.md,Floor Vibrations,datatable,done
flow_coefficient_cv_vs__flow_factor_kv.md,Flow Coefficient Cv vs. Flow Factor Kv,calculator-table,done
flow_section_channels___geometric_relationships.md,Flow Section Channels - Geometric Relationships,calculator,done
flowmeters___turndown_ratios.md,Flowmeters - Turndown Ratios,datatable,done
flue_gases___dew_point_temperatures.md,Flue Gases - Dew Point Temperatures,calculator,done
fluid_flow___entrance_length_and_developed_flow.md,Fluid Flow - Entrance Length and Developed Flow,calculator,done
fluid_flow___equation_of_continuity.md,Fluid Flow - Equation of Continuity,datatable,done
fluid_flow___equivalent_diameter.md,Fluid Flow - Equivalent Diameter,datatable,done
fluid_flow___euler_equations.md,Fluid Flow - Euler Equations,calculator-chart,done
fluid_flow___hydraulic_diameter.md,Fluid Flow - Hydraulic Diameter,calculator-table,done
fluid_flow_and_pressure_loss_in_pipes_and_tubes.md,Fluid Flow and Pressure Loss in Pipes and Tubes,calculator,done
fluid_flowmeters___comparing_types.md,Fluid Flowmeters - Comparing Types,datatable,done
fluid_mechanics___imperial_and_si_units_vs__dimens.md,Fluid Mechanics - Imperial and SI Units vs. Dimensions,datatable,done
flywheels___kinetic_energy.md,Flywheels - Kinetic Energy,datatable,done
food___calorific_combustion_values.md,Food - Calorific Combustion Values,none,pending
food___energy_content.md,Food - Energy Content,datatable,done
food_and_foodstuff___ph_values.md,Food and Foodstuff - pH Values,datatable,done
food_and_foodstuff___specific_heat.md,Food and Foodstuff - Specific Heat,datatable,done
food_borne_infections_and_diseases.md,Food-borne Infections and Diseases,chart,done
food_products___bulk_densities.md,Food Products - Bulk Densities,datatable,done
food_products___osmotic_pressures.md,Food Products - Osmotic Pressures,datatable,done
food_products___viscosities.md,Food Products - Viscosities,datatable,done
foods___thermal_conductivities.md,Foods - Thermal Conductivities,datatable,done
foodstuff___thermal_diffusivity.md,Foodstuff - Thermal Diffusivity,datatable,done
force.md,Force,datatable,done
force__power_and_human_operated_machines.md,"Force, Power and Human Operated Machines",datatable,done
force_ratio.md,Force Ratio,datatable,done
forces_acting_on_a_wedge.md,Forces Acting on a Wedge,calculator,done
forces_acting_on_body_moving_on_a_horizontal_plane.md,Forces acting on Body Moving on a Horizontal Plane,chart-table,done
forces_and_tensions_in_ropes_due_to_angle.md,Forces and Tensions in Ropes due to Angle,datatable,done
formulas_of_motion___linear_and_circular.md,Formulas of Motion - Linear and Circular,none,pending
fossil_vs__alternative_fuels___energy_content.md,Fossil vs. Alternative Fuels - Energy Content,calculator-table,done
fraction_to_decimal_inches_conversion__chart___cal.md,Fraction to Decimal Inches Conversion: Chart & Calculator,datatable,done
fractions.md,Fractions,datatable,done
friction___coefficients_for_common_materials_and_s.md,Friction - Coefficients for Common Materials and Surfaces,none,pending
friction_flow_coeficients_from_moody_diagram.md,Friction Flow Coeficients from Moody Diagram,datatable,done
froude_number.md,Froude Number,none,pending
frozen_food___storage_life.md,Frozen Food - Storage Life,datatable,done
fruits_and_vegetables___optimal_storage_conditions.md,Fruits and Vegetables - Optimal Storage Conditions,datatable,done
fuel_consumption___mpg.md,Fuel Consumption - mpg,datatable,done
fuel_consumption_converter.md,Fuel Consumption Converter,datatable,done
fuel_equivalents___online_calculator.md,Fuel Equivalents - Online Calculator,datatable,done
fuel_gases___combustion_values.md,Fuel Gases - Combustion Values,calculator-table,done
fuel_gases___flame_temperatures.md,Fuel Gases - Flame Temperatures,datatable,done
fuel_gases___wobbe_index.md,Fuel Gases - Wobbe Index,datatable,done
fuel_oil_burners.md,Fuel Oil Burners,datatable,done
fuel_oil_combustion_values.md,Fuel Oil Combustion Values,datatable,done
